Income,Gender,Age,Age Range,Political Affiliation,Believe in Ghosts
32000,Female,60,55-64,Democrat,No
110000,Female,44,35-44,Republican,No
114000,Male,56,55-64,Independent,No
143000,Male,52,45-54,DK/REF,No
104000,Female,70,65+,Democrat,Yes
85000,Female,60,55-64,Democrat,No
202000,Male,40,35-44,Independent,No
65000,Female,50,45-54,Independent,No
147000,Male,64,55-64,Democrat,No
97000,Female,53,45-54,Independent,Yes
105000,Male,68,65+,Independent,Yes
132000,Male,60,55-64,Independent,No
153000,Female,58,55-64,Republican,Yes
17000,Female,53,45-54,Democrat,No
45000,Female,26,25-34,Independent,No
62000,Male,52,45-54,Independent,No
71000,Female,56,55-64,DK/REF,No
159000,Female,47,45-54,Democrat,Yes
5000,Female,55,55-64,Republican,Yes
436000,Male,55,55-64,Independent,Yes
97000,Female,61,55-64,Republican,No
56000,Female,59,55-64,Democrat,No
31000,Female,38,35-44,Independent,Yes
32000,Female,59,55-64,Democrat,No
150000,Male,65,65+,Republican,No
132000,Male,52,45-54,Republican,Yes
25000,Female,52,45-54,Independent,No
55000,Female,59,55-64,Democrat,Yes
44000,Male,56,55-64,DK/REF,No
51000,Male,61,55-64,Republican,No
39000,Female,57,55-64,Independent,No
26000,Male,49,45-54,Independent,No
174000,Female,68,65+,Democrat,No
100000,Female,59,55-64,Republican,Yes
132000,Male,57,55-64,Independent,No
48000,Male,64,55-64,Republican,Yes
92000,Female,56,55-64,Independent,Yes
25000,Female,33,25-34,Democrat,No
22000,Female,40,35-44,DK/REF,Yes
170000,Male,63,55-64,Independent,No
92000,Female,57,55-64,Independent,No
91000,Female,48,45-54,Independent,Yes
10000,Female,55,55-64,Independent,No
48000,Female,60,55-64,Independent,Yes
105000,Female,59,55-64,Independent,Yes
52000,Male,51,45-54,Democrat,Yes
120000,Male,53,45-54,Democrat,Yes
34000,Female,65,65+,DK/REF,No
180000,Female,40,35-44,Republican,No
164000,Female,26,25-34,Democrat,No
83000,Male,64,55-64,Independent,No
79000,Male,60,55-64,Independent,Yes
327000,Female,55,55-64,Independent,No
62000,Female,62,55-64,Republican,No
180000,Female,64,55-64,Republican,Yes
70000,Female,49,45-54,Independent,Yes
103000,Female,58,55-64,Republican,Yes
57000,Male,47,45-54,Independent,No
78000,Female,58,55-64,DK/REF,No
132000,Female,61,55-64,Democrat,No
73000,Male,61,55-64,Republican,No
42000,Female,57,55-64,Republican,Yes
21000,Female,69,65+,Democrat,No
163000,Male,58,55-64,Independent,No
88000,Female,44,35-44,Independent,Yes
22000,Male,70,65+,Independent,No
43000,Male,63,55-64,Democrat,No
47000,Female,60,55-64,Independent,Yes
113000,Male,40,35-44,Independent,No
137000,Female,40,35-44,Republican,Yes
9000,Female,61,55-64,Republican,Yes
39000,Female,32,25-34,Democrat,No
13000,Female,55,55-64,Republican,Yes
47000,Female,58,55-64,Republican,No
72000,Male,60,55-64,Independent,No
37000,Male,58,55-64,Independent,Yes
69000,Male,55,55-64,Independent,No
208000,Male,55,55-64,Independent,No
30000,Female,57,55-64,DK/REF,No
23000,Male,62,55-64,Democrat,No
8000,Male,34,25-34,Independent,No
114000,Male,40,35-44,Republican,No
129000,Female,45,45-54,Democrat,Yes
94000,Male,51,45-54,Democrat,No
177000,Male,63,55-64,Republican,Yes
30000,Female,62,55-64,DK/REF,Yes
12000,Male,35,35-44,DK/REF,No
135000,Male,57,55-64,Democrat,No
87000,Male,50,45-54,Independent,Yes
86000,Male,55,55-64,DK/REF,No
93000,Female,51,45-54,Independent,Yes
169000,Female,61,55-64,Independent,No
13000,Other,22,18-24,DK/REF,Yes
102000,Female,61,55-64,Democrat,Yes
101000,Male,54,45-54,Republican,No
153000,Female,60,55-64,Republican,Yes
43000,Male,56,55-64,Democrat,No
5000,Male,64,55-64,Democrat,No
61000,Female,29,25-34,Democrat,No
203000,Male,50,45-54,Republican,No
168000,Female,58,55-64,Independent,Yes
130000,Female,36,35-44,Independent,Yes
41000,Female,53,45-54,Independent,Yes
18000,Female,83,65+,Republican,No
152000,Male,35,35-44,Independent,No
73000,Female,53,45-54,Independent,No
42000,Female,40,35-44,Independent,Yes
68000,Female,48,45-54,Democrat,No
162000,Other,48,45-54,Independent,Yes
10000,Female,43,35-44,Democrat,No
126000,Other,42,35-44,Independent,Yes
122000,Male,65,65+,DK/REF,No
163000,Female,47,45-54,Independent,No
78000,Female,38,35-44,Independent,Yes
500000,Male,46,45-54,Independent,Yes
103000,Male,51,45-54,Independent,No
64000,Male,28,25-34,Democrat,Yes
166000,Male,28,25-34,Independent,No
102000,Male,49,45-54,Republican,Yes
74000,Male,38,35-44,Independent,Yes
146000,Female,46,45-54,Independent,Yes
74000,Female,45,45-54,Republican,No
24000,Female,28,25-34,Independent,Yes
121000,Female,49,45-54,Democrat,Yes
30000,Female,49,45-54,Democrat,Yes
80000,Male,50,45-54,Republican,No
72000,Other,70,65+,Independent,Yes
81000,Female,27,25-34,DK/REF,Yes
44000,Female,44,35-44,DK/REF,Yes
159000,Female,45,45-54,Democrat,No
163000,Male,45,45-54,DK/REF,No
44000,Female,80,65+,Democrat,Yes
47000,Female,45,45-54,Democrat,Yes
220000,Male,45,45-54,Democrat,Yes
16000,Female,68,65+,Democrat,No
390000,Male,48,45-54,Democrat,Yes
170000,Male,46,45-54,Democrat,No
92000,Male,99,65+,Republican,No
70000,Female,38,35-44,Independent,No
38000,Male,51,45-54,Republican,No
64000,Male,54,45-54,Democrat,No
124000,Female,37,35-44,Republican,Yes
7000,Female,66,65+,Democrat,Yes
43000,Female,65,65+,Independent,No
12000,Other,72,65+,Republican,Yes
260000,Female,43,35-44,Independent,Yes
139000,Male,32,25-34,Democrat,No
211000,Female,65,65+,Independent,Yes
73000,Female,71,65+,DK/REF,No
9000,Female,40,35-44,Democrat,No
30000,Female,68,65+,Republican,No
101000,Female,51,45-54,Democrat,Yes
168000,Female,51,45-54,Independent,No
93000,Female,66,65+,Democrat,No
29000,Female,37,35-44,Independent,Yes
62000,Female,18,18-24,Democrat,No
107000,Male,76,65+,Democrat,No
204000,Female,35,35-44,Independent,No
75000,Male,40,35-44,Independent,Yes
12000,Female,48,45-54,Democrat,No
144000,Male,36,35-44,Independent,No
79000,Female,48,45-54,Democrat,No
28000,Female,68,65+,Independent,No
25000,Male,53,45-54,Independent,No
63000,Male,23,18-24,DK/REF,No
32000,Male,51,45-54,Democrat,Yes
58000,Female,53,45-54,Independent,Yes
135000,Female,51,45-54,Independent,Yes
81000,Female,66,65+,Independent,No
95000,Female,47,45-54,Republican,No
23000,Female,50,45-54,DK/REF,No
38000,Male,41,35-44,Republican,No
68000,Other,86,65+,Republican,No
177000,Female,54,45-54,Republican,No
73000,Female,38,35-44,Democrat,No
18000,Male,46,45-54,Republican,No
61000,Male,35,35-44,DK/REF,No
56000,Female,51,45-54,Democrat,Yes
14000,Other,96,65+,Independent,Yes
98000,Male,47,45-54,Democrat,No
142000,Female,53,45-54,Independent,No
211000,Female,48,45-54,Republican,Yes
47000,Male,51,45-54,Independent,No
72000,Female,65,65+,DK/REF,Yes
55000,Other,47,45-54,Republican,Yes
116000,Male,48,45-54,Independent,No
35000,Male,30,25-34,Republican,No
5000,Female,48,45-54,DK/REF,Yes
90000,Female,48,45-54,Democrat,Yes
9000,Male,22,18-24,Independent,No
131000,Female,51,45-54,Independent,No
176000,Male,38,35-44,DK/REF,No
137000,Male,51,45-54,Independent,No
39000,Female,48,45-54,Independent,Yes
114000,Female,45,45-54,Independent,Yes
89000,Male,52,45-54,Republican,No
16000,Female,65,65+,Democrat,No
125000,Male,53,45-54,Republican,No
92000,Male,43,35-44,Independent,No
161000,Male,28,25-34,Independent,No
74000,Other,22,18-24,Independent,No
148000,Female,58,55-64,Independent,No
44000,Male,54,45-54,Democrat,No
165000,Male,65,65+,Independent,No
14000,Male,65,65+,Independent,No
62000,Other,56,55-64,Democrat,Yes
179000,Female,49,45-54,Independent,Yes
39000,Female,49,45-54,Republican,Yes
85000,Female,63,55-64,Independent,Yes
37000,Female,59,55-64,DK/REF,Yes
148000,Female,60,55-64,Republican,No
80000,Female,55,55-64,Republican,Yes
40000,Female,61,55-64,Democrat,No
181000,Male,53,45-54,Republican,Yes
76000,Female,57,55-64,Democrat,Yes
74000,Male,49,45-54,Republican,No
162000,Male,50,45-54,Republican,No
157000,Female,46,45-54,Republican,Yes
161000,Male,35,35-44,Democrat,Yes
103000,Male,60,55-64,Republican,No
91000,Male,65,65+,Republican,No
21000,Female,43,35-44,Independent,No
103000,Male,58,55-64,Independent,No
27000,Male,59,55-64,Independent,No
326000,Female,58,55-64,Democrat,Yes
74000,Female,66,65+,Democrat,Yes
500000,Male,42,35-44,Democrat,No
500000,Female,70,65+,Independent,No
47000,Male,47,45-54,Democrat,No
56000,Female,53,45-54,Independent,Yes
68000,Male,72,65+,Republican,No
153000,Female,60,55-64,Republican,Yes
64000,Female,51,45-54,Republican,No
79000,Female,50,45-54,DK/REF,Yes
64000,Male,60,55-64,Republican,No
124000,Female,50,45-54,Democrat,No
155000,Male,55,55-64,Independent,No
13000,Male,45,45-54,Democrat,No
100000,Male,50,45-54,DK/REF,No
422000,Male,46,45-54,Independent,No
140000,Female,62,55-64,Democrat,No
105000,Male,75,65+,Democrat,Yes
127000,Female,50,45-54,DK/REF,No
84000,Female,45,45-54,Independent,Yes
